metabolite,oxygen,treatment,mean,se,name
alanine,21%,None,2.2452661017025406,0.410035863033454,ALAR
alanine,21%,DMSO,2.709637944773591,0.6676393958688148,ALAR
alanine,21%,BAY,5.980608192051346,0.3785733047301853,ALAR
alanine,0.5%,None,0.5803161033335412,0.5114709422182704,ALAR
aspartate,21%,None,2.566677766349776,0.13889998965014286,ASPR
aspartate,21%,DMSO,2.361927912183915,0.14920211245814327,ASPR
aspartate,21%,BAY,1.8106729122367546,0.37603374348026464,ASPR
aspartate,0.5%,None,1.0867447100018197,0.6379545264055809,ASPR
biomass,21%,None,0.023808151676310816,6.53569798944964e-4,BIOMASS
biomass,21%,DMSO,0.023414169015416098,0.0010593224430955896,BIOMASS
biomass,21%,BAY,0.016994566955198666,0.0015713414432870665,BIOMASS
biomass,21%,siCTL,0.04938904797314589,0.004070424551587613,BIOMASS
biomass,21%,siMYC,0.019946378415851767,0.005679049335555092,BIOMASS
biomass,21%,siHIF1A,0.03809761280772107,0.007343686093557895,BIOMASS
biomass,21%,siHIF2A,0.014211603582691922,0.0013145701250101532,BIOMASS
biomass,0.5%,None,0.016798708459257464,7.778090006030022e-4,BIOMASS
biomass,0.5%,DMSO,0.019830844732130527,5.311506456992114e-4,BIOMASS
biomass,0.5%,BAY,0.017940953683000735,4.919690404647922e-4,BIOMASS
biomass,0.5%,siCTL,0.044995384631263534,0.004791459367525208,BIOMASS
biomass,0.5%,siMYC,-0.00694839764591984,0.0071350901658950696,BIOMASS
biomass,0.5%,siHIF1A,0.028828303174897024,0.013397707341742789,BIOMASS
biomass,0.5%,siHIF2A,0.0064907352394987005,0.0020839475559589022,BIOMASS
biomass,0.2%,None,0.01901198156246422,7.299615117639669e-4,BIOMASS
cystine,21%,None,-4.412074772472374,0.3346865493340196,CYSR
cystine,21%,DMSO,-2.8001078768601175,0.30682963647634404,CYSR
cystine,21%,BAY,0.3095411623511478,0.41074256381909846,CYSR
cystine,0.5%,None,-1.659854018830887,0.4423491878434434,CYSR
glucose,21%,None,-497.096430314818,26.1037162430006,GLUT
glucose,21%,DMSO,-589.3367498278416,56.60100497302465,GLUT
glucose,21%,BAY,-926.3729375795514,71.40032019383997,GLUT
glucose,0.5%,None,-564.6554234096385,65.22787644390121,GLUT
glutamate,21%,None,16.1501170714106,0.8714590474826899,GLUR
glutamate,21%,DMSO,16.092101358297352,1.0923389391399967,GLUR
glutamate,21%,BAY,16.999788067116132,1.0163211672729826,GLUR
glutamate,0.5%,None,7.543810894405539,0.5777537170403064,GLUR
glutamine,21%,None,-41.86452446088476,2.4546834873511862,GLNR
glutamine,21%,DMSO,-37.78975074576661,2.352626108148868,GLNR
glutamine,21%,BAY,-19.084613153411535,2.176005333742366,GLNR
glutamine,0.5%,None,-10.189916507723778,7.9887118198182945,GLNR
glycine,21%,None,2.0502701983337785,0.23405229215174492,GLYR
glycine,21%,DMSO,2.5205354427541935,0.2655404447551858,GLYR
glycine,21%,BAY,0.5556949572170682,0.6817088523535527,GLYR
glycine,0.5%,None,0.25941790934219267,0.23926886816434517,GLYR
lactate,21%,None,1013.3278465105985,39.51955976007604,MCT
lactate,21%,DMSO,816.8893411923125,71.34699295896172,MCT
lactate,21%,BAY,1233.8706225787935,146.43314432664684,MCT
lactate,0.5%,None,872.6677241369356,35.209295030525404,MCT
pyruvate,21%,None,-76.21128971728965,6.756791849434912,PYRR
pyruvate,21%,DMSO,-100.65379405647647,5.281662153041124,PYRR
pyruvate,21%,BAY,-60.679715385829105,4.25202119879631,PYRR
pyruvate,0.5%,None,-62.26035523227636,3.432430785267462,PYRR
serine,21%,None,-14.251717711318596,1.1228027486259484,SERR
serine,21%,DMSO,-10.433887372272272,1.6150957157468286,SERR
serine,21%,BAY,-2.5033417381980154,0.9957036185355208,SERR
serine,0.5%,None,-5.4931217528047265,0.5456877590698984,SERR
