method,tracer,oxygen,treatment,metabolite,time,isotope,mean,se
fs,glc2,21%,None,3PG,12,M0,0.5992324915133148,0.020640362968741128
fs,glc2,21%,None,3PG,12,M1,-4.1704853903657783e-19,2.7793814596318286e-19
fs,glc2,21%,None,3PG,12,M2,0.4334207906974771,0.020240801645371554
fs,glc2,21%,None,3PG,12,M3,-9.887093092682968e-20,2.026917635271508e-20
fs,glc2,21%,None,3PG,24,M0,0.5721293245814755,0.004193012387391498
fs,glc2,21%,None,3PG,24,M1,-3.078287485089356e-19,3.3225999255021325e-19
fs,glc2,21%,None,3PG,24,M2,0.45883737830660426,0.003913223199002804
fs,glc2,21%,None,3PG,24,M3,3.8389071666530466e-19,6.089126429013181e-20
fs,glc2,21%,None,3PG,36,M0,0.5754419462908194,0.005648921577462561
fs,glc2,21%,None,3PG,36,M1,-1.915950703428575e-19,1.1837975366226677e-19
fs,glc2,21%,None,3PG,36,M2,0.4555573330583017,0.004610926248464378
fs,glc2,21%,None,3PG,36,M3,-7.702674745895809e-20,5.241661957906113e-20
fs,glc2,21%,None,3PG,48,M0,0.5459030064694748,0.004494352510446581
fs,glc2,21%,None,3PG,48,M1,-4.621166677669181e-19,2.1227761339304152e-19
fs,glc2,21%,None,3PG,48,M2,0.48395985851434564,0.002951748094813245
fs,glc2,21%,None,3PG,48,M3,-7.137800193736594e-20,1.1804312965137408e-19
fs,glc2,0.5%,None,3PG,12,M0,0.6382736739633798,0.0052532222345361024
fs,glc2,0.5%,None,3PG,12,M1,3.8369960307945274e-19,4.0885067727516806e-19
fs,glc2,0.5%,None,3PG,12,M2,0.39513537724959896,0.005151529040905554
fs,glc2,0.5%,None,3PG,12,M3,-1.7521374675482361e-19,4.53882246437853e-20
fs,glc2,0.5%,None,3PG,24,M0,0.5933935524199988,0.016727065008973845
fs,glc2,0.5%,None,3PG,24,M1,2.031764512660262e-19,3.877099923548322e-20
fs,glc2,0.5%,None,3PG,24,M2,0.43914669814330065,0.016403258289043775
fs,glc2,0.5%,None,3PG,24,M3,-1.9331258965974003e-19,1.21134936391754e-19
fs,glc2,0.5%,None,3PG,36,M0,0.5804370017495498,0.011268891170235234
fs,glc2,0.5%,None,3PG,36,M1,2.162415334115812e-19,1.9014521301532206e-19
fs,glc2,0.5%,None,3PG,36,M2,0.45185243265610603,0.011050745148495899
fs,glc2,0.5%,None,3PG,36,M3,-9.691589506742253e-20,9.24044607228576e-20
fs,glc2,0.5%,None,3PG,48,M0,0.5724371145574096,0.009378964329626264
fs,glc2,0.5%,None,3PG,48,M1,4.2078147647943687e-19,1.805996690765247e-19
fs,glc2,0.5%,None,3PG,48,M2,0.4596974560254472,0.009197403985699328
fs,glc2,0.5%,None,3PG,48,M3,1.9868650700282186e-20,1.4606310332191214e-19
fs,glc6,21%,None,3PG,12,M0,0.04575122322471942,0.004208208629089813
fs,glc6,21%,None,3PG,12,M1,-3.30784972016102e-20,1.5232221535090265e-20
fs,glc6,21%,None,3PG,12,M2,-1.0917783384921155e-20,1.2244635764615744e-20
fs,glc6,21%,None,3PG,12,M3,0.9560560418412044,0.003802915324823719
fs,glc6,21%,None,3PG,24,M0,0.02948993713773017,0.0012804701840559063
fs,glc6,21%,None,3PG,24,M1,-1.4781248921591396e-20,6.374703359987535e-21
fs,glc6,21%,None,3PG,24,M2,-1.0625458129906985e-20,7.779535095999262e-21
fs,glc6,21%,None,3PG,24,M3,0.9713654993575457,0.00174111826235355
fs,glc6,21%,None,3PG,36,M0,0.015576933998682912,5.012629443418064e-4
fs,glc6,21%,None,3PG,36,M1,-1.3916540857188448e-20,8.555319217668015e-21
fs,glc6,21%,None,3PG,36,M2,0.0015990475929546213,8.683237380670731e-4
fs,glc6,21%,None,3PG,36,M3,0.9811914339669661,0.0017647457613334749
fs,glc6,21%,None,3PG,48,M0,0.010890811559453433,0.004994778302163748
fs,glc6,21%,None,3PG,48,M1,8.30722484939463e-21,4.86385648974045e-21
fs,glc6,21%,None,3PG,48,M2,7.789278466586614e-4,7.789278466586615e-4
fs,glc6,21%,None,3PG,48,M3,0.9860238782582706,0.0067998666084812575
fs,glc6,0.5%,None,3PG,12,M0,0.002948160401346106,0.0017028709646013922
fs,glc6,0.5%,None,3PG,12,M1,-1.2364815998106077e-21,1.2364815998106079e-21
fs,glc6,0.5%,None,3PG,12,M2,-3.3816092877271573e-22,3.3816092877271583e-22
fs,glc6,0.5%,None,3PG,12,M3,0.9972082589534681,0.0016125224281062025
fs,glc6,0.5%,None,3PG,24,M0,0.011304821962252458,0.006527504146553567
fs,glc6,0.5%,None,3PG,24,M1,7.646267180019465e-21,4.747904201079869e-21
fs,glc6,0.5%,None,3PG,24,M2,3.6969641054181766e-24,3.696964105418177e-24
fs,glc6,0.5%,None,3PG,24,M3,0.9892949734073675,0.0061811769973644255
fs,glc6,0.5%,None,3PG,36,M0,0.0018802559221895543,0.0018802559221895543
fs,glc6,0.5%,None,3PG,36,M1,6.26929458651246e-22,6.26929458651246e-22
fs,glc6,0.5%,None,3PG,36,M2,7.743482655286534e-23,7.743482655286536e-23
fs,glc6,0.5%,None,3PG,36,M3,0.9982195040563042,0.0017804959436958183
fs,glc6,0.5%,None,3PG,48,M0,0.009446692644937221,0.009446692644937221
fs,glc6,0.5%,None,3PG,48,M1,2.1354133516749586e-21,2.1354133516749586e-21
fs,glc6,0.5%,None,3PG,48,M2,-2.34931701247208e-21,2.3493170124720803e-21
fs,glc6,0.5%,None,3PG,48,M3,0.9910545167085206,0.008945483291479409
fs,lac3,21%,None,3PG,12,M0,1,0
fs,lac3,21%,None,3PG,12,M1,-1.4598086896924588e-18,7.169492987524881e-19
fs,lac3,21%,None,3PG,12,M2,4.840199500677189e-19,1.2165147594685202e-19
fs,lac3,21%,None,3PG,12,M3,0.014199361413998801,0.005684920787501899
fs,lac3,21%,None,3PG,24,M0,1,0
fs,lac3,21%,None,3PG,24,M1,-6.363643819720719e-19,7.41965977807997e-20
fs,lac3,21%,None,3PG,24,M2,1.5640243731449063e-19,1.9044661131337926e-19
fs,lac3,21%,None,3PG,24,M3,0.038725316687176374,0.003796986022829743
fs,lac3,21%,None,3PG,36,M0,0.9993512424024897,3.78088165930927e-4
fs,lac3,21%,None,3PG,36,M1,-1.0121455613096033e-18,3.0026282435835175e-19
fs,lac3,21%,None,3PG,36,M2,5.139130615895351e-19,1.147842270670698e-19
fs,lac3,21%,None,3PG,36,M3,0.03987946616502082,0.0032294474177694847
fs,lac3,21%,None,3PG,48,M0,1,0
fs,lac3,21%,None,3PG,48,M1,1.6675682944810305e-19,8.064795887304221e-19
fs,lac3,21%,None,3PG,48,M2,3.653253494156314e-19,7.908557451938996e-20
fs,lac3,21%,None,3PG,48,M3,0.026928002050445026,0.0025167125128038735
fs,lac3,0.5%,None,3PG,12,M0,1,0
fs,lac3,0.5%,None,3PG,12,M1,-2.9343791700168113e-18,0
fs,lac3,0.5%,None,3PG,12,M2,1.9255857368413764e-19,0
fs,lac3,0.5%,None,3PG,12,M3,0,0
fs,lac3,0.5%,None,3PG,24,M0,1,0
fs,lac3,0.5%,None,3PG,24,M1,-2.860060300001098e-18,7.431887001571311e-20
fs,lac3,0.5%,None,3PG,24,M2,2.0114571297672804e-19,8.587139292590394e-21
fs,lac3,0.5%,None,3PG,24,M3,0.0013243744450246596,0.0013243744450246598
fs,lac3,0.5%,None,3PG,36,M0,1,0
fs,lac3,0.5%,None,3PG,36,M1,-2.940903190861085e-18,6.524020844273816e-21
fs,lac3,0.5%,None,3PG,36,M2,2.617455874464438e-19,6.91870137623062e-20
fs,lac3,0.5%,None,3PG,36,M3,0.001993161229662122,0.001993161229662122
fs,lac3,0.5%,None,3PG,48,M0,1,0
fs,lac3,0.5%,None,3PG,48,M1,-1.0020394119202438e-18,1.1356110961201436e-18
fs,lac3,0.5%,None,3PG,48,M2,5.030645728389256e-19,1.9601833794883054e-19
fs,lac3,0.5%,None,3PG,48,M3,0.01087979446373532,0.006036866877347345
fs,q5,21%,None,3PG,12,M0,1,0
fs,q5,21%,None,3PG,12,M1,-2.9343791700168113e-18,0
fs,q5,21%,None,3PG,12,M2,1.9255857368413764e-19,0
fs,q5,21%,None,3PG,12,M3,0,0
fs,q5,21%,None,3PG,24,M0,1,0
fs,q5,21%,None,3PG,24,M1,-2.9343791700168113e-18,0
fs,q5,21%,None,3PG,24,M2,1.9255857368413764e-19,0
fs,q5,21%,None,3PG,24,M3,0,0
fs,q5,21%,None,3PG,36,M0,1,0
fs,q5,21%,None,3PG,36,M1,-2.0966465132452016e-18,5.082456757536976e-19
fs,q5,21%,None,3PG,36,M2,1.9255857368413764e-19,0
fs,q5,21%,None,3PG,36,M3,0,0
fs,q5,21%,None,3PG,48,M0,1,0
fs,q5,21%,None,3PG,48,M1,-3.3460378285785825e-19,9.887899512542701e-19
fs,q5,21%,None,3PG,48,M2,2.0094884195512852e-19,8.390268270990887e-21
fs,q5,21%,None,3PG,48,M3,0,0
fs,q5,0.5%,None,3PG,12,M0,1,0
fs,q5,0.5%,None,3PG,12,M1,-2.9343791700168113e-18,0
fs,q5,0.5%,None,3PG,12,M2,1.9255857368413764e-19,0
fs,q5,0.5%,None,3PG,12,M3,0,0
fs,q5,0.5%,None,3PG,24,M0,1,0
fs,q5,0.5%,None,3PG,24,M1,-2.9343791700168113e-18,0
fs,q5,0.5%,None,3PG,24,M2,1.9255857368413764e-19,0
fs,q5,0.5%,None,3PG,24,M3,0,0
fs,q5,0.5%,None,3PG,36,M0,1,0
fs,q5,0.5%,None,3PG,36,M1,-2.9343791700168113e-18,0
fs,q5,0.5%,None,3PG,36,M2,1.9255857368413764e-19,0
fs,q5,0.5%,None,3PG,36,M3,0,0
fs,q5,0.5%,None,3PG,48,M0,1,0
fs,q5,0.5%,None,3PG,48,M1,-2.9343791700168113e-18,0
fs,q5,0.5%,None,3PG,48,M2,1.9255857368413764e-19,0
fs,q5,0.5%,None,3PG,48,M3,0,0
sim,glc2,21%,None,AKG,12,M0,0.9298527936016947,0.002028808095456684
sim,glc2,21%,None,AKG,12,M1,0.00382630000461695,2.1408314967444903e-4
sim,glc2,21%,None,AKG,12,M2,0.058470868423445156,0.0016299746693375753
sim,glc2,21%,None,AKG,12,M3,3.5446607776900055e-4,1.0973901386405143e-4
sim,glc2,21%,None,AKG,12,M4,0.0055199640983760135,5.9689816032959e-4
sim,glc2,21%,None,AKG,12,M5,0.0020128987481889057,3.300576585356779e-5
sim,glc2,21%,None,AKG,24,M0,0.8875453507226444,0.0014952268834579215
sim,glc2,21%,None,AKG,24,M1,0.009167002608448325,1.514730934241952e-4
sim,glc2,21%,None,AKG,24,M2,0.08696092610831017,0.002073862264992553
sim,glc2,21%,None,AKG,24,M3,0.003333376589142173,1.2070743502175517e-4
sim,glc2,21%,None,AKG,24,M4,0.009684145506675281,1.381560858938488e-4
sim,glc2,21%,None,AKG,24,M5,0.0019832332140279603,4.6402566586272316e-4
sim,glc2,21%,None,AKG,36,M0,0.863514353438095,0.0033137824171471444
sim,glc2,21%,None,AKG,36,M1,0.010287584378021977,5.790991034597543e-4
sim,glc2,21%,None,AKG,36,M2,0.10643711448193105,0.002809921991253138
sim,glc2,21%,None,AKG,36,M3,0.005318767963201037,6.0147986626063596e-5
sim,glc2,21%,None,AKG,36,M4,0.013293886526078252,1.967440872017773e-4
sim,glc2,21%,None,AKG,36,M5,0.0021293425373870144,2.542919856233866e-4
sim,glc2,21%,None,AKG,48,M0,0.8427313493783484,0.0021300879726546093
sim,glc2,21%,None,AKG,48,M1,0.011169030749615295,2.465145416971851e-4
sim,glc2,21%,None,AKG,48,M2,0.12211692562134457,0.0015399309920126033
sim,glc2,21%,None,AKG,48,M3,0.006440611756736074,5.7021663756896006e-5
sim,glc2,21%,None,AKG,48,M4,0.015525373856390164,3.138934148744315e-4
sim,glc2,21%,None,AKG,48,M5,0.001737667042864856,1.1072486655572212e-4
sim,glc2,0.5%,None,AKG,12,M0,0.9020768887700787,0.002780610190909645
sim,glc2,0.5%,None,AKG,12,M1,0.002835965338313768,3.640018905508914e-4
sim,glc2,0.5%,None,AKG,12,M2,0.08592673583427891,0.0029860779028567
sim,glc2,0.5%,None,AKG,12,M3,7.64325777021646e-5,7.514961864330298e-5
sim,glc2,0.5%,None,AKG,12,M4,0.007104169164386392,4.5487324759507097e-4
sim,glc2,0.5%,None,AKG,12,M5,0.0029376401649985457,1.5970956226730535e-4
sim,glc2,0.5%,None,AKG,24,M0,0.8853876423630455,0.011486669332514193
sim,glc2,0.5%,None,AKG,24,M1,0.0022515904576995683,5.479472929610215e-4
sim,glc2,0.5%,None,AKG,24,M2,0.09800993265110687,0.009304307593663139
sim,glc2,0.5%,None,AKG,24,M3,3.292391247329954e-4,1.2847212879863663e-4
sim,glc2,0.5%,None,AKG,24,M4,0.00956746570361811,6.132614503816907e-4
sim,glc2,0.5%,None,AKG,24,M5,0.0018632580320954298,3.5526754284694165e-4
sim,glc2,0.5%,None,AKG,36,M0,0.8913226434367629,0.008156696959588984
sim,glc2,0.5%,None,AKG,36,M1,0.004745429425289884,1.5684616502909885e-4
sim,glc2,0.5%,None,AKG,36,M2,0.09931233141969519,0.00302590536160608
sim,glc2,0.5%,None,AKG,36,M3,6.848300195909788e-4,2.6510179386300345e-4
sim,glc2,0.5%,None,AKG,36,M4,0.010556421435925094,6.286346131304242e-4
sim,glc2,0.5%,None,AKG,36,M5,9.573916992752709e-4,3.516103506573774e-4
sim,glc2,0.5%,None,AKG,48,M0,0.8934904760293086,0.005097933842389213
sim,glc2,0.5%,None,AKG,48,M1,0.0026962064427803636,9.652843193442835e-4
