index,name,equation,pathway
1,GLUT,GLC.x (abcdef) -> GLC (abcdef),transport
2,PYRR,PYR.x (abc) -> PYR.c (abc),transport
3,MCT,LAC (abc) <-> LAC.x (abc),transport
4,ALAR,ALA (abc) -> ALA.x (abc),transport
5,GLNR,GLN.x (abcde) -> GLN (abcde),transport
6,GLUR,GLU (abcde) <-> GLU.x (abcde),transport
7,ASPR,ASP.c (abcd) -> ASP.x (abcd),transport
8,HK,GLC (abcdef) -> G6P (abcdef),glycolysis
9,PGI,G6P (abcdef) <-> F6P (abcdef),glycolysis
10,PFK,F6P (abcdef) -> FBP (abcdef),glycolysis
11,ALDO,FBP (abcdef) <-> DHAP (cba) + GAP (def),glycolysis
12,TPI,DHAP (abc) <-> GAP (abc),glycolysis
13,GAPDH,GAP (abc) <-> 3PG (abc),glycolysis
14,ENO,3PG (abc) -> PEP (abc),glycolysis
15,PK,PEP (abc) -> PYR.c (abc),glycolysis
16,LDH,PYR.c (abc) <-> LAC (abc),glycolysis
17,GPT1,PYR.c (abc) <-> ALA (abc),glycolysis
18,GPT2,PYR.m (abc) <-> ALA (abc),glycolysis
19,G6PD,G6P (abcdef) -> P5P (bcdef) + CO2 (a),pentose phosphate pathway
20,TK1,P5P (abcde) + P5P (fghij) <-> S7P (abfghij) + GAP (cde)  ,pentose phosphate pathway
21,TA,S7P (abcdefg) + GAP (hij) <-> F6P (abchij) + E4P (defg)  ,pentose phosphate pathway
22,TK2,P5P (abcde) + E4P (fghi) <-> F6P (abfghi) + GAP (cde),pentose phosphate pathway
23,PYRT,PYR.c (abc) -> PYR.m (abc),anaplerosis
24,PC,PYR.m (abc) + CO2 (d) -> OAC.m (abcd),anaplerosis
25,PEPCK,OAC.c (abcd) -> PEP (abc) + CO2 (d),anaplerosis
26,ME2,MAL.m (abcd) -> PYR.m (abc) + CO2 (d),anaplerosis
27,ME1,MAL.c (abcd) -> PYR.c (abc) + CO2 (d),anaplerosis
28,PDH,PYR.m (abc) -> AcCoA.m (bc) + CO2 (a),tricarboxylic acid cycle
29,FAO,FAO (ab) -> AcCoA.m (ab),anaplerosis
30,GLDH,GLU (abcde) <-> AKG (abcde),anaplerosis
31,GLS,GLN (abcde) <-> GLU (abcde),anaplerosis
32,CITT,CIT.m (abcdef) <-> CIT.c (abcdef),anaplerosis
33,CS,AcCoA.m (ab) + OAC.m (cdef) -> CIT.m (fedbac),tricarboxylic acid cycle
34,IDH2,CIT.m (abcdef) -> AKG (abcde) + CO2 (f),tricarboxylic acid cycle
35,IDH1,AKG (abcde) + CO2 (f) -> CIT.c (abcdef),
36,OGDH,AKG (abcde) -> SUC (bcde) + CO2 (a),tricarboxylic acid cycle
37,SDH,SUC (abcd) <-> FUM (abcd),tricarboxylic acid cycle
38,FH,FUM (abcd) <-> MAL.m (abcd),tricarboxylic acid cycle
39,MDH2,MAL.m (abcd) <-> OAC.m (abcd),tricarboxylic acid cycle
40,MDH1,MAL.c (abcd) <-> OAC.c (abcd),tricarboxylic acid cycle
41,GOT2,OAC.m (abcd) <-> ASP.m (abcd),tricarboxylic acid cycle
42,GOT1,OAC.c (abcd) <-> ASP.c (abcd),tricarboxylic acid cycle
43,ASPT,ASP.c (abcd) <-> ASP.m (abcd),
44,ACL,CIT.c (abcdef) -> AcCoA.c (ed) + OAC.c (fcba),biomass
45,LIPS,AcCoA.c (ab) -> lipid,biomass
46,SERR,SER.x (abc) -> SER (abc),transport
47,PST,3PG (abc) -> SER (abc),amino acid metabolism
48,SHT,SER (abc) <-> GLY (ab) + MEETHF (c),amino acid metabolism
49,CYST,SER (abc) <-> CYS (abc),amino acid metabolism
50,SD,SER (abc) -> PYR.c (abc),amino acid metabolism
51,GLYS,CO2 (a) + MEETHF (b) -> GLY (ab),amino acid metabolism
52,CYSR,CYX.x (abcdef) -> CYS (abc) + CYS (fed),transport
53,GLYR,GLY (ab) -> GLY.x (ab),transport
54,cPYR,0*PYR.c (abc) -> PYR.ms (abc),mixing
55,mPYR,0*PYR.m (abc) -> PYR.ms (abc),mixing
56,sPYR,PYR.ms (abc) -> PYR.fix (abc),mixing
57,cMAL,0*MAL.c (abcd) -> MAL.ms (abcd),mixing
58,mMAL,0*MAL.m (abcd) -> MAL.ms (abcd),mixing
59,sMAL,MAL.ms (abcd) -> MAL.fix (abcd),mixing
60,cASP,0*ASP.c (abcd) -> ASP.ms (abcd),mixing
61,mASP,0*ASP.m (abcd) -> ASP.ms (abcd),mixing
62,sASP,ASP.ms (abcd) -> ASP.fix (abcd),mixing
63,cCIT,0*CIT.c (abcdef) -> CIT.ms (abcdef),mixing
64,mCIT,0*CIT.m (abcdef) -> CIT.ms (abcdef),mixing
65,sCIT,CIT.ms (abcdef) -> CIT.fix (abcdef),mixing
